Taxón
Abelia ×grandiflora (Rovelli ex André) Rehder, in L.H.Bailey, Cycl. Amer. Hort. 1: 1 (1900)
Abies alba Mill., Gard. Dict., ed. 8: n.º 1 (1768)
Abies numidica de Lannoy ex Carrière, Rev. Hort. 37: 106 (1866)
Abies pinsapo Boiss., Notice Abies Pinsapo: 8 (1838)
Abutilon megapotamicum (Spreng.) A.St.-Hil. & Naudin, Ann. Sci. Nat., Bot., ser. 2, 18: 49 (1842)
Abutilon pictum (Gillies ex Hook. & Arn.) Walp., Repert. Bot. Syst. 1: 324 (1842)
Abutilon theophrasti Medik., Malvenfam.: 28 (1787)
Acacia dealbata Link, Enum. Hort. Berol. Alt. 2: 445 (1822)
Acacia longifolia (Andrews) Willd., Sp. Pl., ed. 4(2): 1052 (1806)
Acacia melanoxylon R.Br., in W.T.Aiton, Hort. Kew., ed. 2, 5: 462 (1813)
Acanthus mollis L., Sp. Pl.: 639 (1753)
Acca sellowiana (O.Berg) Burret, Repert. Spec. Nov. Regni Veg. 50: 59 (1941)
Acer campestre L., Sp. Pl.: 1055 (1753)
Acer cappadocicum Gled., Schr. Ges. Naturf. Freunde (Berlín) 6: 116, pl. 2 (1785)
Acer hyrcanum Fisch. & C.A.Mey., Ind. Sem. Horti Petrop. 4: 31 (1838)
Acer japonicum Thunb., in Murray, Syst. Veg., ed. 14: 911 (1784)
Acer negundo L., Sp. Pl.: 1056 (1753)
Acer palmatum Thunb., Nova Acta Soc. Sc. Upsal. 4: 40 (1783)
Acer platanoides L., Sp. Pl.: 1055 (1753)
Acer pseudoplatanus L., Sp. Pl.: 1054 (1753)
Acer rubrum L., Sp. Pl.: 1055 (1753)
Acer saccharum Marshall, Arbust. Amer.: 4 (1785)
Achillea millefolium L., Sp. Pl.: 899 (1753) subsp. millefolium
Aconitum napellus L. subsp. lusitanicum Rouy, Naturaliste 6(51): 405 (1884)
Aconitum napellus L. subsp. vulgare (DC.) Rouy & Foucaud, Fl. France 1: 142 (1893)
Aconitum vulparia Rchb. subsp. neapolitanum (Ten.) Muñoz Garm. ex Molero & C.Blanché, Anales Jard. Bot. Madrid 41(1): 212 (1984)
Actaea spicata L., Sp. Pl.: 504 (1753)
Actinidia arguta (Siebold & Zucc.) Planch. ex Miq., Ann. Mus. Bot. Lugduno-Batavi 3: 15 (1867)
Actinidia deliciosa (A.Chev.) C.F.Liang & A.R.Ferguson, Guihaia 4(3): 181 (1984)
Adenocarpus complicatus (L.) J.Gay, Ann. Sci. Nat., Bot., ser. 2, 6: 125 (1836)
Adenocarpus lainzii (Castrov.) Castrov., Anales Jard. Bot. Madrid 57(1): 44 (1999)
Adenostyles alliariae (Gouan) A.Kern. subsp. pyrenaica (Lange) P.Fourn., Quatre Fl. Fr.: 994 (1940)
Adiantum capillus-veneris L., Sp. Pl.: 1096 (1753)
Adonis pyrenaica DC., in Lam. & DC., Fl. Franç., ed. 3, 5: 635 (1815)
Aeonium arboreum (L.) Webb & Berthel., Phytogr. Can. 3(2.1): 185 (1840)
Aesculus ×carnea Hayne, Dendrol. Fl.: 43-44 (1822)
Aesculus hippocastanum L., Sp. Pl.: 344 (1753)
Aetheorhiza bulbosa (L.) Cass., Dict. Sci. Nat. 48: 426 (1827)
Aethionema saxatile (L.) R.Br. subsp. saxatile, in W.T.Aiton, Hort. Kew., ed. 2, 4: 80 (1812)
Aethionema saxatile (L.) R.Br. subsp. ovalifolium (DC.) Nyman, Consp. Fl. Eur.: 63 (1878)
Aethusa cynapium L. subsp. cynapium, Sp. Pl.: 256 (1753)
Agapanthus africanus (L.) Hoffmanns., Verz. Pfl.-Kult.: 35 (1824)
Agave americana L., Sp. Pl.: 323 (1753)
Agrimonia eupatoria L., Sp. Pl.: 448 (1753)
Agrimonia procera Wallr., Erst. Beitr. Fl. Hercyn.: 203 (1840)
Agrostemma githago L., Sp. Pl.: 435 (1753)
Agrostis capillaris L., Sp. Pl.: 62 (1753)
Agrostis castellana Boiss. & Reut., Diagn. Pl. Nov. Hisp.: 26 (1842)
Agrostis curtisii Kerguélen, Bull. Soc. Bot. France 123 (5-6): 318 (1976)
Agrostis ×fouilladei P.Fourn., Quatre Fl. Fr.: 49 (1934)
Agrostis hesperica Romero García, Blanca & C.Morales, Anales Jard. Bot. Madrid 43(1): 52 (1986)
Agrostis ×murbeckii Fouill., Bull. Soc. Bot. France 79: 799 (1932)
Agrostis schleicheri Jord. & Verl., in F.W.Schultz, Arch. Fl. Fr. Allem.: 347 (1855)
Agrostis stolonifera L., Sp. Pl.: 62 (1753)
Agrostis tileni Nieto Fel. & Castrov., Anales Jard. Bot. Madrid 40(2): 472 (1984) 
Ailanthus altissima (Mill.) Swingle, J. Washington Acad. Sci. 6(14): 495 (1916)
Aira caryophyllea L., Sp. Pl.: 66 (1753) subsp. caryophyllea
Aira caryophyllea L. subsp. plesiantha (Jord. ex Boreau) K.Richt., Pl. Eur. 1: 53 (1890)
Aira praecox L., Sp. Pl.: 65 (1753) (nom. cons.)
Ajuga chamaepitys (L.) Schreb., Pl. Vert. Unilab.: 24 (1773)
Ajuga pyramidalis L., Sp. Pl. 561 (1753) subsp. pyramidalis
Ajuga reptans L., Sp. Pl.: 561 (1753)
Albizia julibrissin Durazz., Mag. Tosc. 3(4): 11 (1772)
Alcea biennis subsp. biennis Winterl, Ind. Hort. Univ. Hung. Pest: 3 (1788)
Alcea rosea L., Sp. Pl.: 687 (1753)
Alchemilla alpina L., Sp. Pl.: 123 (1753)
Alchemilla alpigena Buser ex Hegi, Bull. Herb. Boissier, ser. 2, 1(7): 716-718 (1901)
Alchemilla burgensis S.E.Fröhner, Anales Jard. Bot. Madrid 53(1): 24 (1995)
Alchemilla connivens Buser, Bull. Herb. Boissier 2: 107 (1894)
Alchemilla coriacea Buser, Not. Alchim.: 19 (1891)
Alchemilla effusa Buser, Alchim. Valais.: 24 (1894)
Alchemilla fallax Buser, Ber. Schweiz. Bot. Ges. 4: 65 (1894)
Alchemilla filicaulis Buser, Bull. Herb. Boissier 1, app. 2: 6, 22-23 (1893)
Alchemilla fulgida S.E.Fröhner, Feddes Repert. 92(1-2): 6-8 (1981) 
Alchemilla glabra Neygenf., Ench. Bot.: 67 (1821)
Alchemilla glaucescens Wallr., Linnaea 14: 134, 549 (1840)
Alchemilla hispanica S.E.Fröhner, Feddes Repert. 92(1-2): 10-11 (1981)
Alchemilla hoppeaniformis S.E.Fröhner, Anales Jard. Bot. Madrid 53(1): 29 (1995) 
Alchemilla inconcinna Buser, Bull. Herb. Boissier 1, app. 2: 34 (1893)
Alchemilla iniquiformis S.E.Fröhner, Feddes Repert. 92 (1-2): 5-6 (1981)
Alchemilla polatschekiana S.E.Fröhner, Feddes Repert. 92 (1-2): 2-5 (1981)
Alchemilla polychroma S.E.Fröhner, Anales Jard. Bot. Madrid 53(1): 16 (1995) 
Alchemilla saxatilis Buser, Not. Alchim.: 3 (1891)
Alchemilla sierrae Romo, Estud. Mus. Ci. Nat. Álava 6: 45-47 (1992)
Alchemilla straminea Buser, Alchim. Valais.: 13 (1894)
Alchemilla subalpina S.E.Fröhner, Feddes Repert. 92 (1-2): 8-9 (1981)
Alchemilla transiens (Buser) Buser, in Dörfl., Herb. Norm. 37: 204, n.º 3610 (1898)
Alchemilla xanthochlora Rothm., Feddes Repert. 42: 167 (1937)
Alisma lanceolatum With., Arr. Brit. Pl., ed. 3, 2: 362 (1796)
Alisma plantago-aquatica L., Sp. Pl.: 342 (1753)
Alliaria petiolata (M.Bieb.) Cavara & Grande, Bull. Orto Bot. Regia Univ. Napoli 3: 418 (1891)
Allium ampeloprasum L., Sp. Pl.: 294 (1753)
Allium cepa L., Sp. Pl.: 300 (1753)
Allium ericetorum Thore, Essai Chlor. Land.: 123 (1803)
Allium lusitanicum Lam., Encycl. 1: 70 (1783)
Allium neapolitanum Cirillo, Pl. Rar. Neap. 1: 13, pl. 4 (1788)
Allium oleraceum L., Sp. Pl.: 299 (1753)
Allium palentinum Losa & P.Monts., Anales Inst. Bot. Cavanilles 11(2): 423 (1953)
Allium roseum L., Sp. Pl.: 296 (1753)
Allium sativum L., Sp. Pl.: 296 (1753)
Allium schoenoprasum L., Sp. Pl.: 301 (1753)
Allium scorzonerifolium Desf. ex DC., in Redouté, Liliaceés 2: t. 99 (1804)
Allium sphaerocephalon L., Sp. Pl.: 297 (1753)
Allium triquetrum L., Sp. Pl.: 300 (1753)
Allium ursinum L., Sp. Pl.: 300 (1753) subsp. ursinum
Allium victorialis L., Sp. Pl.: 295 (1753)
Allium vineale L., Sp. Pl.: 299 (1753)
Alnus cordata (Loisel.) Duby, Bot. Gall. 1: 423 (1828)
Alnus glutinosa (L.) Gaertn., Fruct. Sem. Pl. 2: 54, t. 90, fig. 2 (1790)
Alnus incana (L.) Moench, Methodus: 424 (1794)
Aloe maculata All., Auct. Syn. Stirp. Taurin.: 13 (1773)
Aloe arborescens Mill., Gard. Dict., ed. 8: n.º 3 (1768)
Alopecurus aequalis Sobol., Fl. Petrop.: 16 (1799)
Alopecurus alpinus Vill., Hist. Pl. Dauphiné 1: 306, 427 (1786)
Alopecurus geniculatus L., Sp. Pl.: 60 (1753)
Alopecurus myosuroides Huds., Fl. Angl.: 23 (1762)
Alopecurus pratensis L., Sp. Pl.: 60 (1753)
Aloysia citriodora Ortega & Palau, Descr. Nuevo Gen. Pl.: 3 (1779)
Alpinia purpurata (Vieill.) K.Schum., in Engl., Pflanzenr. (Zingib.): 323 (1904)
Althaea hirsuta L., Sp. Pl.: 687 (1753)
Althaea officinalis L., Sp. Pl.: 686 (1753)
Alyssum alyssoides (L.) L., Syst. Nat., ed. 10: 1130 (1759)
Alyssum montanum L., Sp. Pl.: 650 (1753)
Alyssum serpyllifolium Desf., Fl. Atlant. 2: 70 (1798)
Amaranthus blitum L., Sp. Pl.: 990 (1753)
Amaranthus bouchonii Thell., Monde Pl., ser. 3, 27(160): 4 (1926)
Amaranthus cruentus L., Syst. Nat., ed. 10: 1269 (1759)
Amaranthus deflexus L., Mant. Pl.: 295 (1771)
Amaranthus graecizans L. subsp. silvestris (Vill.) Brenan, Watsonia 4: 273 (1961)
Amaranthus hybridus L., Sp. Pl.: 990 (1753)
Amaranthus hypochondriacus L., Sp. Pl.: 991 (1753)
Amaranthus powellii S.Watson, Proc. Amer. Acad. Arts 10: 347 (1875)
Amaranthus retroflexus L., Sp. Pl.: 991 (1753)
Amaryllis belladonna L., Sp. Pl.: 293 (1753) (nom. cons.)
Ambrosia artemisiifolia L., Sp. Pl.: 988 (1753)
Amelanchier ovalis Medik., Gesch. Bot.: 79 (1793)
Ammi majus L., Sp. Pl.: 243 (1753)
Ammi visnaga (L.) Lam., Fl. Franç. 3: 462 (1779)
Ammophila arenaria (L.) Link subsp. arundinacea (Husn.) H.Lindb., Acta Soc. Sci. Fenn., ser. B, Opera Biol. 1(2): 10 (1932)
Anacamptis pyramidalis (L.) Rich., De Orchid. Eur.: 33 (1817)
Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase subsp. champagneuxii (Barnéoud) H.Kretzschmar, Eccarius & H.Dietr., Orchid Gen. Anacamptis Orchis Neotinea, ed. 2: 130 (2007)
Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase subsp. picta (Loisel.) Jacquet & Scappat., Répartit. Orchid. Sauvages France, ed. 3, 3: 7 (2003)
Anacyclus clavatus (Desf.) Pers., Syn. Pl. 2: 465 (1807)
Anacyclus radiatus Loisel., Fl. Gall.: 583 (1807)
Anagallis arvensis L., Sp. Pl.: 148 (1753)
Anagallis foemina Mill., Gard. Dict., ed. 8: nº 2 (1768)
Anagallis tenella (L.) L., Syst. Veg., ed. 13: 165 (1774)
Anarrhinum bellidifolium (L.) Willd., Sp. Pl. 3(1): 260 (1800)
Anchusa azurea Mill., Gard. Dict., ed. 8: n.º 9 (1768)
Androsace halleri L., Sp. Pl.: 142 (1753)
Androsace lactea L., Sp. Pl.: 142 (1753)
Androsace villosa L., Sp. Pl.: 142 (1753)
Androsace vitaliana (L.) Lapeyr., Hist. Abr. Pyr.: 94 (1813)
Andryala integrifolia L., Sp. Pl.: 808 (1753)
Anemone ×hybrida Paxton, Paxton's Mag. Bot. 15: 239 (1849)
Anemone narcissiflora L., Sp. Pl.: 542 (1753) ('uarcissifolia') (nom. et orth. cons.)
Anemone nemorosa L., Sp. Pl.: 541 (1753)
Anemone pavoniana Boiss., Diagn. Pl. Orient., ser. 2, 1: 6 (1854)
Angelica major Lag., Elench. Pl.: 13 (1816)
Angelica pachycarpa Lange, Descr. Icon. Pl. Nov.: 7, t. 9 (1864)
Angelica sylvestris L., Sp. Pl.: 251 (1753)
Anisantha diandra (Roth) Tutin, in A.R.Clapham, Tutin & E.F.Warb., Fl. Brit. Isles, ed. 2: 1149 (1962)
Anisantha madritensis (L.) Nevski, Trudy Sredne-Aziatsk. Gosud. Univ., ser. 8b, Bot. 17: 21 (1934)
Anisantha rigida (Roth) Hyl., Uppsala Univ. Arsskr. 7: 32 (1945)
Anisantha sterilis (L.) Nevski, Trudy Sredne-Aziatsk. Gosud. Univ., ser. 8b, Bot. 17: 20 (1934)
Anogramma leptophylla (L.) Link, Fil. Spec.: 137 (1841)
Antennaria dioica (L.) Gaertn., Fruct. Sem. Pl. 2: 410, t. 167, fig. 3 (1791)
Anthemis arvensis L., Sp. Pl.: 894 (1753)
Anthemis carpatica Willd., Sp. Pl. 3(3): 2179 (1803)
Anthemis cotula L., Sp. Pl.: 894 (1753)
Anthoxanthum amarum Brot., Fl. Lusit. 1: 32 (1804) 
Anthoxanthum aristatum Boiss., Voy. Bot. Midi Esp. 2: 638 (1842)
Anthoxanthum odoratum L., Sp. Pl.: 28 (1753)
Anthriscus caucalis M.Bieb., Fl. Taur.-Caucas. 1: 230 (1808)
Anthriscus sylvestris (L.) Hoffm., Gen. Pl. Umbell.: 40 (1814)
Anthyllis vulneraria L. subsp. boscii Kerguélen, Lejeunia 120: 45 (1987)
Anthyllis vulneraria L. subsp. cantabrica (Rothm.) Fern.Prieto & Ciordia, Bol. Cien. Nat. R.I.D.E.A. 52: 102 (2014)
Anthyllis vulneraria L. subsp. iberica (W.Becker) Jalas ex Cullen, Notes Roy. Bot. Gard. Edinburgh 35: 32 (1976)
Anthyllis vulneraria L. subsp. vulnerarioides (All.) Arcang., Comp. Fl. Ital., ed. 2: 502 (1894)
Antinoria agrostidea (DC.) Parl., Fl. Palerm. 1: 95 (1845)
Antirrhinum braun-blanquetii Rothm., Feddes Repert. Spec. Nov. Regni Veg. 56: 280 (1954)
Antirrhinum majus L., Sp. Pl.: 617 (1753)
Antirrhinum meonanthum Hoffmanns. & Link, Fl. Port. 1: 261, t. 51 (1813) subsp. meonanthum
Aphanes arvensis L., Sp. Pl.: 123 (1753)
Aphanes australis Rydb., in Britton & Underw. (eds.), N. Amer. Fl. 22(4): 380 (1908)
Aphyllanthes monspeliensis L., Sp. Pl.: 294 (1753)
Apium graveolens L., Sp. Pl.: 264 (1753)
Aptenia cordifolia (L.f.) Schwantes, Gartenflora 77: 69 (1928)
Aquilegia pyrenaica DC. subsp. discolor (Levier & Leresche) Pereda & M.Laínz, Bol. Inst. Estud. Asturianos, Supl. Ci., 5: 12 (1962)
Aquilegia vulgaris L., Sp. Pl.: 533 (1753) subsp. vulgaris
Arabidopsis thaliana (L.) Heynh., in Holl & Heynh., Fl. Sachsen: 538 (1842)
Arabis alpina L., Sp. Pl.: 664 (1753) subsp. alpina 
Arabis alpina L. subsp. cantabrica (Leresche & Levier) Greuter & Burdet, in Greuter & Raus, Willdenowia 15(1): 63 (1985)
Arabis auriculata Lam., Encycl. 1: 219 (1783)
Arabis ciliata Clairv., Man. Herbor. Suisse: 222 (1811)
Arabis glabra (L.) Bernh., Syst. Verz.: 195 (1800)
Arabis hirsuta (L.) Scop., Fl. Carniol., ed. 2, 2: 30 (1772)
