Species_name
× Dactylodenia heinzeliana
Abies nordmanniana
Abutilon
Abutilon theophrasti
Acacia
Acacia dealbata
Acacia melanoxylon
Acanthus mollis
Acer
Acer campestre
Acer negundo
Acer opalus
Acer platanoides
Acer pseudoplatanus
Achillea
Achillea maritima
Achillea millefolium
Aconitum
Aconitum lycoctonum
Aconitum napellus
Aconitum vulparia
Actaea spicata
Actinidia
Actinidia chinensis
Actinidia chinensis deliciosa
Adenocarpus complicatus
Adenocarpus lainzii
Adenostyles
Adenostyles alliariae
Adenostyles alpina pyrenaica
Adiantum capillus-veneris
Aegonychon purpurocaeruleum
Aeonium
Aeonium arboreum
Aeonium haworthii
Aesculus hippocastanum
Aethusa cynapium
Agapanthus
Agapanthus africanus
Agapanthus campanulatus
Agapanthus praecox
Agave
Agave americana
Agave salmiana
Ageratina adenophora
Ageratina riparia
Agrestes
Agrimonia
Agrimonia eupatoria
Agrostis
Agrostis capillaris
Agrostis curtisii
Agrostis stolonifera
Agrostula truncatula
Agrostula truncatula durieui
Aigeiros
Ailanthus altissima
Aira
Aira caryophyllea
Aira praecox
Aizoaceae
Ajuga
Ajuga chamaepitys
Ajuga pyramidalis
Ajuga reptans
Albuca bracteata
Alcea
Alcea rosea
Alchemilla
Alchemilla alpina
Alchemilla arvensis
Alchemilla australis
Alchemilla catalaunica
Alchemilla microcarpa
Alchemilla plicatula
Alchemilla saxatilis
Alchemilla vulgaris
Alchemilla xanthochlora
Alisma plantago-aquatica
Alismatales
Alliaria petiolata
Allium
Allium ampeloprasum
Allium ericetorum
Allium lusitanicum
Allium neapolitanum
Allium oleraceum
Allium palentinum
Allium schoenoprasum
Allium sphaerocephalon
Allium triquetrum
Allium ursinum
Allium victorialis
Allium vineale
Allium vineale compactum
Alnus
Alnus glutinosa
Alnus lusitanica
Alocasia macrorrhizos
Aloe
Aloe arborescens
Aloe maculata
Aloe vera
Aloiampelos ciliaris
Alopecurus aequalis
Alopecurus myosuroides
Alopecurus pratensis
Aloysia citrodora
Alsineae
Alstroemeria
Althaea officinalis
Alyssum fastigiatum
Amaranthus
Amaranthus caudatus
Amaranthus deflexus
Amaranthus hybridus
Amaranthus powellii
Amaranthus retroflexus
Amaranthus viridis
Amaryllis belladonna
Ambrosia psilostachya
Amelanchier
Amelanchier ovalis
Ammi majus
Amygdaloideae
Anacamptis morio
Anacamptis pyramidalis
Anacyclus radiatus
Anarrhinum
Anarrhinum bellidifolium
Androsace villosa
