"Species_name","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"A. laenzii","A. laenzii","A. laenzii","[No match found]","","","","","",NA,"unresolved_no_match"
"A. setacea","A. setacea","A. setacea","[No match found]","","","","","",NA,"unresolved_no_match"
"A. sylvestris","A. sylvestris","A. sylvestris","[No match found]","","","","","",NA,"unresolved_no_match"
"A. tenuis","A. tenuis","A. tenuis","[No match found]","","","","","",NA,"unresolved_no_match"
"Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","Acer pseudoplatanus","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781462-1","Accepted",1,"accepted_or_direct"
"acer pseudoppltnus","acer pseudoppltnus","acer pseudoppltnus","Acer","Acer","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:328248-2","Accepted",0.5,"unresolved_low_score"
"Achemilla sp","Achemilla","Achemilla","Alchemilla","Alchemilla","L.","Rosaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30008181-2","Accepted",0.96021221090168,"accepted_or_direct"
"Achillea millefolium","Achillea millefolium","Achillea millefolium","Achillea millefolium","Achillea millefolium","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2294-2","Accepted",1,"accepted_or_direct"
"Achillea sp","Achillea","Achillea","Achillea","Achillea","L.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60436826-2","Accepted",1,"accepted_or_direct"
"Acinus alpinus","Acinus alpinus","Acinus alpinus","Acinos alpinus","Clinopodium alpinum","(L.) Kuntze","Lamiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:444204-1","Synonym",0.9694502693699,"synonym_to_accepted"
"Adenostiles CF","Adenostiles","Adenostiles","Adenostyles","Adenostyles","Cass.","Asteraceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7479-1","Accepted",0.96542355975219,"accepted_or_direct"
"Adiantum capillus-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris","Adiantum capillus-veneris","L.","Pteridaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325030-2","Accepted",1,"accepted_or_direct"
"Aegonychon purpurocaruleum","Aegonychon purpurocaruleum","Aegonychon purpurocaruleum","Aegonychon purpurocaeruleum","Aegonychon purpurocaeruleum","(L.) Holub","Boraginaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:112674-1","Accepted",0.99094303083965,"accepted_or_direct"
"Aethusa cinapium","Aethusa cinapium","Aethusa cinapium","Aethusa cynapium","Aethusa cynapium","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837341-1","Accepted",0.97922049354994,"accepted_or_direct"
"Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","Aethusa cynapium","L.","Apiaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:837341-1","Accepted",1,"accepted_or_direct"
