"Species_name","Note","X","X.1","X.2","X.3","X.4","X.5","cleaned_name","tnrs_original_name","tnrs_matched_name","tnrs_accepted_name","tnrs_accepted_author","tnrs_family","tnrs_powo_uri","tnrs_taxonomic_status","tnrs_overall_score","tnrs_match_type"
"Abelia ," in L.H.Bailey"," Cycl. Amer. Hort. 1: 1 (1900)","","","","","","Abelia �grandiflora (Rovelli ex Andr�) Rehder","Abelia �grandiflora (Rovelli ex Andr�) Rehder","Abelia","Abelia","R.Br.","Caprifoliaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30049036-2","Accepted",0.9,"accepted_or_direct"
"Abies alba Mill."," Gard. Dict."," ed. 8: n.,"","","","","","Abies alba Mill.","Abies alba Mill.","Abies alba","Abies alba","Mill.","Pinaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60468511-2","Accepted",1,"accepted_or_direct"
"Abies numidica de Lannoy ex Carri," Rev. Hort. 37: 106 (1866)","","","","","","","Abies numidica de Lannoy ex Carri�re","Abies numidica de Lannoy ex Carri�re","Abies numidica","Abies numidica","de Lannoy ex Carrière","Pinaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:261601-1","Accepted",0.97918,"accepted_or_direct"
"Abies pinsapo Boiss."," Notice Abies Pinsapo: 8 (1838)","","","","","","","Abies pinsapo Boiss.","Abies pinsapo Boiss.","Abies pinsapo","Abies pinsapo","Boiss.","Pinaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:676606-1","Accepted",1,"accepted_or_direct"
"Abutilon megapotamicum (Spreng.) A.St.-Hil. & Naudin"," Ann. Sci. Nat."," Bot."," ser. 2"," 18: 49 (1842)","","","","Abutilon megapotamicum (Spreng.) A.St.-Hil. & Naudin","Abutilon megapotamicum (Spreng.) A.St.-Hil. & Naudin","Abutilon megapotamicum","Callianthe megapotamica","(A.Spreng.) Dorr","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1053809-2","Synonym",0.98278,"synonym_to_accepted"
"Abutilon pictum (Gillies ex Hook. & Arn.) Walp."," Repert. Bot. Syst. 1: 324 (1842)","","","","","","","Abutilon pictum (Gillies ex Hook. & Arn.) Walp.","Abutilon pictum (Gillies ex Hook. & Arn.) Walp.","Abutilon pictum","Callianthe picta","(Gillies ex Hook. & Arn.) Donnell","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1198366-2","Synonym",1,"synonym_to_accepted"
"Abutilon theophrasti Medik."," Malvenfam.: 28 (1787)","","","","","","","Abutilon theophrasti Medik.","Abutilon theophrasti Medik.","Abutilon theophrasti","Abutilon theophrasti","Medik.","Malvaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1044174-2","Accepted",1,"accepted_or_direct"
"Acacia dealbata Link"," Enum. Hort. Berol. Alt. 2: 445 (1822)","","","","","","","Acacia dealbata Link","Acacia dealbata Link","Acacia dealbata","Acacia dealbata","Link","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470130-1","Accepted",1,"accepted_or_direct"
"Acacia longifolia (Andrews) Willd."," Sp. Pl."," ed. 4(2): 1052 (1806)","","","","","","Acacia longifolia (Andrews) Willd.","Acacia longifolia (Andrews) Willd.","Acacia longifolia","Acacia longifolia","(Andrews) Willd.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470782-1","Accepted",1,"accepted_or_direct"
"Acacia melanoxylon R.Br."," in W.T.Aiton"," Hort. Kew."," ed. 2"," 5: 462 (1813)","","","","Acacia melanoxylon R.Br.","Acacia melanoxylon R.Br.","Acacia melanoxylon","Acacia melanoxylon","R.Br.","Fabaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:470873-1","Accepted",1,"accepted_or_direct"
"Acanthus mollis L."," Sp. Pl.: 639 (1753)","","","","","","","Acanthus mollis L.","Acanthus mollis L.","Acanthus mollis","Acanthus mollis","L.","Acanthaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:44892-1","Accepted",1,"accepted_or_direct"
"Acca sellowiana (O.Berg) Burret"," Repert. Spec. Nov. Regni Veg. 50: 59 (1941)","","","","","","","Acca sellowiana (O.Berg) Burret","Acca sellowiana (O.Berg) Burret","Acca sellowiana","Feijoa sellowiana","(O.Berg) O.Berg","Myrtaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1733-2","Synonym",1,"synonym_to_accepted"
"Acer campestre L."," Sp. Pl.: 1055 (1753)","","","","","","","Acer campestre L.","Acer campestre L.","Acer campestre","Acer campestre","L.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781250-1","Accepted",1,"accepted_or_direct"
"Acer cappadocicum Gled."," Schr. Ges. Naturf. Freunde (Berl," pl. 2 (1785)","","","","","","Acer cappadocicum Gled.","Acer cappadocicum Gled.","Acer cappadocicum","Acer cappadocicum","Gled.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:56622-1","Accepted",1,"accepted_or_direct"
"Acer hyrcanum Fisch. & C.A.Mey."," Ind. Sem. Horti Petrop. 4: 31 (1838)","","","","","","","Acer hyrcanum Fisch. & C.A.Mey.","Acer hyrcanum Fisch. & C.A.Mey.","Acer hyrcanum","Acer hyrcanum","Fisch. & C.A.Mey.","Sapindaceae","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:781340-1","Accepted",1,"accepted_or_direct"
